RBr,Broj lokacija,d_Ortools,T_Ortools,S_ortools_distance,Sim_total,d_SOM,T_som
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1137,0.1,1137,0.14,1137,0.1,1141,6.27
2,20,2023,0.11,1966,0.13,1966,0.11,1973,7.49
3,30,2328,0.12,2463,0.15,2463,0.12,2464,8.23
4,40,2639,0.16,2639,0.13,2639,0.14,2689,8.78
5,50,2943,0.16,2976,0.15,2976,0.18,2958,9.19
6,60,3147,0.21,3118,0.16,3118,0.16,3206,9.55
7,70,3232,0.24,3282,0.22,3282,0.19,3334,9.96
8,80,3515,0.26,3371,0.21,3371,0.24,3446,10.25
9,90,3442,0.27,3493,0.27,3493,0.3,3533,10.5
10,100,3647,0.37,3637,0.29,3637,0.29,3789,10.83
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1137,0.07,1137,0.12,1137,0.07,1141,6.39
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1137,0.06,1137,0.1,1137,0.05,1153,6.3
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1137,0.15,1137,0.19,1137,0.14,1141,6.31
RBr,Problem_size,[D]Global_alg,[T]Global_alg,[D] Christofides,[T] Christofides,[D]SimAnnealing,[T]SimAnnealing,[D]SOM,[T]SOM
1,10,1137,0.1,1137,0.15,1137,0.1,1141,6.35
2,20,2023,0.11,1966,0.14,1966,0.11,2029,7.5
3,30,2328,0.13,2463,0.15,2463,0.13,2356,8.27
4,40,2639,0.17,2639,0.14,2639,0.14,2689,8.85
5,50,2943,0.17,2976,0.16,2976,0.18,2993,9.22
6,60,3147,0.22,3118,0.17,3118,0.17,3237,9.62
7,70,3232,0.24,3282,0.22,3282,0.19,3276,10.02
8,80,3515,0.26,3371,0.21,3371,0.24,3548,10.3
9,90,3442,0.28,3493,0.27,3493,0.3,3593,10.62
10,100,3647,0.39,3637,0.29,3637,0.29,3754,10.89
11,200,4957,1.22,5053,0.87,5053,0.84,5067,13.4
12,300,6515,2.42,6432,1.99,6432,2.0,6569,15.52
13,400,7403,4.73,7326,3.51,7326,3.49,7620,17.43
14,500,8453,7.4,8330,5.36,8330,5.36,8841,19.36
15,600,9164,13.2,9110,7.58,9110,7.61,9783,21.35
16,700,9809,18.79,9704,12.15,9704,12.27,10358,23.08
17,800,10248,21.07,10388,16.04,10388,16.03,11080,24.85
18,900,11039,26.44,11006,20.93,11006,20.78,12006,26.73
19,1000,11635,42.21,11648,30.84,11648,30.69,12438,28.58
20,1500,14330,131.8,14413,83.78,14413,83.85,15408,37.79
